board_state,solution,moves
xxxwwwbwbbbbbbbwxwbbbwbwwwbbwbbwwwwwbwbwwwwbwbwwwxbwbwxwxbxwwwwx w,c1,c8 b7 b1
xwwwwwxxwxwwwwxxwwwwwwwbwwwwwwwbwwwwwwwbwwwwwwwbbbbbbbbbwxwwwwxx w,h8,b8 g8
bwwwwwbbbwwwwwwxbwwwwwwwbbbbbwwwbbbbbbwwbbbbbbbwxxwbbbxbxxbbbbxx b,h2,b7 b8
wxwwwxxxbwwwwxbxbbwwwbxxbbbbbbbxbwbbwbbbbwbwbbwbbbwbbbxbbwwwwwwb b,g7,f1 b1 f2
xxwwwwwxwbbwbwwxwwbwwwwwwbwwwbwwwwwwbwbwwwwwwbwwxxxbbbxwxxbbbbbb b,g7,h2 b7 c7
xxbwwbbbxxbwbbbbwxbwwbbbwbbwbbbbwbwwbbbbwwwwbwbbwwwxwwbbwxxwwwxx b,g8,c8 b8 d7
xxwwwwbwbwwwwbbwbwwwbwbwbbbwwbbwbwbwwbwwbbbbbwbwbxwwbxwwxxwwbbxw w,b7,g8 f7
wbbbbbbbwwwwwwxwbwwwwwwwbbwwwwwwbbbwwwwwbbbwwbwwbxbwwwxwxxxwwxbx b,g2,h8 g7 f8
xwwwwxxbwxwwwwwwwwwbwbwwwwwwbbbwwwbbwwbwwbbwbwbwwbbbwbbbwwwwwwww b,f1,g1 b2
wwwwwwwxbbbwbwwwbbwbwwwwbbwwwwbwbbwwwbwwbbwwwbwwbwwwwwxxwxxwwwwx b,b8,c8 h7 g7
xbbbbbxxbxbbbbxxbwbbbwwwbwbbwwwwbbwbwwwwbwbwbwwwbbwwwbxwbxwwwwxx b,g7,g2 b2
bbbbbbbwwwwbbbbwbwwbbwbwbbbbwbwwbbbbwwwwxbbbbwwxxxbbwwxxxxwbbwww b,h6,h7 g7 b8
xbbbbbbxwxbbbbbxwwbwwbwwwwwwbwwxwwwwwbwxwwwbwwbwwwbbbwxbwbbbbbbb w,g7,h5 b2 h1
bwwwwbxxbwwwwxxxbwbbwwwwwwbwbwbbwwbbwbbxwwbwwbbbwwwwwwxxbwwwwwxx b,g8,f2 h2 g2
bwwwwwwbxwwbwwbbbwbbbbwbwwwbbbwbwwbwbwwbxwwbwbbbxwbbbbbxwxbbbbbx b,a2,a6 a7
bbbbbbbwwwwwwbwbwwbwbwbbwbwbwbwbwbwwbwbbwwwwwbbbwwwwbwxbxxwwwwwx b,a8,g7 b8
xwxbbbbxwxwwwbxxwwwwbbbbwbwbbwbbwbbbwbwxwbwwwbbwxbbbbbbbxbbbbbwb w,h5,h2 g2 a8
bbbbbbbxbbwwwbbwbwbbwbbwwwbbwwbwxwwbbwbwxwwwbbbwwbbbbbbxbxbbwwxx w,h1,g8 b8 h7
xbbbbbbxxwbwwbxxbbwbbwwbbwbwwwwbbbbwwbwbbbwwbwbbbbbbbbwbwbbbbwxw b,g8,g2 h2 a2
bbbbbbbxwwwbbbbwwwbbbbbwwwbbbbbwwbwbbwbwwbwwbbwwwwbwwbxwxxwbbbbx w,h1,h8 g7 b8
wwwwwwwbxwwwwwbbbbwwwbbbbbbwbwbbbbwbwbwbbbbbbwwwbbbbbbwwxbbbbbxx b,h8,a2 g8
xxwbwwxxwbbbbwwxwwbbwwwbwwwbwbwbwwwwbbwbwwwwwbwbwxwwbbwbwwwwwwwb b,h2,b7 g1 b1
xwwwwxbxxwwbwbbwwbwwbbwwwwbwbwwwwbwbwwwwwbbwwwwwwbbwwwxwxxbbbbxx w,a2,f1 b8
wwwwwwbxwwbbbbbbwbwbbbbbwwbbbbwbwbbbwwbbwbbbbbbbbbbbbbxxbbbbbbxx w,g8,h1 h7 g7
wwbbbbbxxwwwwbxbwwwwbwwwwwwbwbwxwwbbbwwwwbwwbbwwbbbbbbbxwwwwwwbx b,h4,a2 g2
bbbxbbbxxbbbbbxxwwbwbbbbwwwbbbbwwwwbbwwwwwbwbwxbwwwwwwwxbbbbbbbx b,a2,h8 g6
xwwwwwxxxxwbbbbbbbbwbbbbbbwwbbwbbwwbwwwwbwbbbwwwbbwwwwbwbbbbbbbw w,h1,a2 g1 b2
xxbbbwwbbbbbwwbbbbwwwbwbbwwwbbwbbwwbwbwbbbwbbwwbbxwwwwwbxbwwwwxx b,g8,b7 h8
xxbbbbbxwwbbwbxwwwwwbwwwwwwwbwwwwwwbwbwwwwwbwwwwxxbbbbwxxxbxwwww b,h7,b7 a7 g2
xxwwwwxxwxwwwwxxwwbwwwbbwbwwwwbbwbwwbwwbwbwwwwbbwbbbwwxbwbwwwwwx w,b2,h2 g7 g2
xwwwwwxxxbbbbwxwwbbwbbwwwbbbwbbwwbwwbwbwwwbbbbbwwxbbbbbwxxbbbbbx w,b8,a2 g2 b7
wwwwwwwwxbbwbbbwbwbwwwbwbbwbwbwwbbbbbwbwwwwwwbwwxxxwwwbwxxbbbbbb b,a2,a7 c7 b7
xxwbbxxxbxwbbbxbbwwbwbbbbwbwbwwbbwbbwbwbbwbbbwwxbbwwwwwwbxwbwwww w,b8,g1 f1 g2
xbbbbxxxwbbwwwxwwbbbwwwxwbwbbwbbwbbbwwbbwwbwbbbbwbwbbbxxbbbbbbbx w,a1,h7 h3 g7
bbbbbbbxbbbwwbxwbwbbbbwwbwwwwbbwbbbwbbbxbbbbbwxbxwwwwwwxxwwwwwww w,g6,g2 a7 h5
xwwwwwwwxxbbbxwwbbbbbwbwbbbwwbbwbwbbbwbwbwbbbwwwbxbbbbxwxbbbbbbx b,f2,g7 b7
xxbbbbbxbxbbwbxbbbbwbbbbbwbbbbbbbwbbbwbbbbwbwwwxbwbwwwbxbbbbbbbb w,b2,b1 g2 h7
wwwwwwxxbbbbwwxxbwwbbwwwbwwwbbbbbwwbbbbbbwbwbbbbbwwbbbxxbbbbbwxx b,h2,g8 g2 g1
xxbbbbbxxwwwwbbxbwwwbbbwbwbwbbbwbwbbwbbwbbwwwwwwbxbwwbxwxbbbbbbx w,h1,b7 g7 h2
xxbbbbxbbxbbbbbbbbbbbbwbbbbbbwbbbbbbbbwbbwbwwbwbbwwwwwbbbwbbbbxb w,g8,b2 g1 b1
wbwwwwwxwbbbbwwxwbwwbwwbwbbwbwwbwbbbwbwbwbbwbwbbwbbbbbxbwxbwbbbx w,b8,h8 g7
bbbbbbbwbwwbwwwwbwwwwwwwbwbwwwbwbbwbwbbwbwbwwwwwbbbbwwwxbxbbwwxx b,h8,g8 h7
xbbbbbwwbxwwwwwbbwwwwwbbbbwwwwwbbbbwbwwbbbwbwbbbbbbwwxbbbbbbbbxx w,f7,g8 a1 h8
bwwwwwwwwwwbbbwwwwbbwwbwwbbbbbbwwbbwwbbwwwbbwwwwwxbbbwxxxxbxxwwx b,a8,h7 b7 g7
xbbbbbxwwxbwbbwxwwwbbwwwwwwwwwwwwbwwwwwwwwwwwwwwwwwbwwxxxbbbbbbx b,h7,b2 h2 g7
bbbbbbbbxxwbwwwwwwwwwbwwwwwbbwbwwwbbwbbwxbwbbbbwbxwbbbbwxxxbbbbw w,a6,c8 b7
bbbbbbbxxbwwwwwbwxbbbwwbxwwbwwwbwwwbwbwbbbbbwwbbxbxwwwxbxxwwwwwx b,a4,b3 g7 h1
bbbbbbbxwwwwbbxxwwbwwbbxwbbbwbbbbwbwbwbbbbbbbbwbbxbbwbwwbbbbwwww w,h3,g2 b7
wwwwwwbbwwwwwwbbxxwbbbwbxwwbwwwwxxwbwbwwbbbbbbbwxbbbwbwwxxwbbbbw w,a8,a7 b8
wxwwwbxxwwwwbbxxwbwbwbbbwbbwbbbbwbwbwbwbwwbbbwbbwwxwwwwbbwxwwwxw b,g8,c8 b1 c7
wxwxbwxwwwwbbxxwwbbwbwbwwbwwbbwwwwwwwbwwwwwwbwbwxxwwwbbwxxwwbbbw w,g2,d1 f2
xxwxxwwbwwwwwwbxwbwbbbbxwbwwbwbbwbwbwbbbwbbwwbxbwbbbwwxbwwwwwwwx w,g6,h2 h3 g7
xxwwwwwbbbwwwwwbbbbwbbwbbbwbbbwbbbwbbwwbbbwwbbbbxxwwwwbbxxwwwwxx b,b1,b8 b7 g8
bwwwwwwwbwwwbbbwbwwwwbbwbwwwbwbwbbwbbbwwbwwwbwwwbbwwwxxxbbbwwxxx b,f8,f7 h7 g7
xxwxxwxxxxwwwwxwbbbwwwbwbbwwwwbwbwbwwbwwbwwwwwwwbwwbbbwwxwwwwwww b,e1,b1 d1 g1
bxxbwxxbxbbbbbbbwwwbbbbbwwbbwbwbwbbwbbwbwbwbwwwbwwbwwwwbwwwwwwxx w,c1,f1 g1 b1
xwwwwwbbxwwwwbbbwwwwbbwbwbbbbwwbwwbbwbwbwbwwwwwwwbbwwxxbwwwwwwxx b,g7,a1 f7 a2
wbbbbbbxxwbbbbxxwwwbwbbxwwwwbwbbwwwwwbbbwwwwbwbbwxxwwwwbxxbbbbbx b,a2,b7 c7
wxwwwwwbwxwbwwbxwwwwwbbxwwwbbbbxwbbwbbbxwbwwwbbxwbbbbwxxwbwwwwwx b,h8,b1 b2 g7
xwwwwwwwbxbwwbxbbbwwbwbwbwbbwbwwbwwbbwbwbbwwbwwwbxbwwbxwxbbbbbbx w,g2,g7 b2 b7
wwwwwwwxbbbbbbbxbbwwwbbbbwbwbwbbbwwbbwbbbbbbbbbbbxbbwwbwxbbbbbbb w,a8,h2 b7
xbwwwwwxwxbwwwwxwwwbbbwbwbbbbbwbwbbbwbwbwbbbbwwbxxbbwwwbxxbbbbbb b,h1,h2 b2
wwwxbbxxbwbbbbxbbwwwwwbwbwwwbbwwbbwwwwwwbwwwwwwwbxwbwwwwbxwwwwxw w,h1,d1 g1 g2
xwwwwwxxbbbbbbbbbbbwwbbbbwwbbbbbbwwbbbbbbwbwbbbbbbbbbbxxbbbbbbxx w,g1,h7 g8
xxxwbwwwxxwwbbwwwwwwbwbwwwwwwwbwwbwbwwbwxbbwwwbwxbbbbbbbxxwwwwww w,a7,a8 a6 b8
xxwwwwwxwbbbbbbbwwbbbwbbwbwbwbwbwwbwbbwbwwwwbbbbwxbbbbbbxxxbbbbb w,h1,c8 b1 b8
xxbbbbxxwxbbwwxxwwbbbwwwwbbbwbwwwwbbbwwwwwbbwbwwwwbbbbbxwwwwwwwx w,b2,h7 b1
xxwwbbxxxwwwwbbxwwwwwbbxwwwwbwwbwbwbwwwwwbbbwbwwwbbbbbwwxxwwwwww w,h3,b8 g1 h2
xwwwwwwxxwwwwwxbbwbwwwbbbwwbbbwbbwwwwwbbbwwwwbbbbxwwwwxbxxwwwwxx b,a1,b7 g2 b8
xxbbbwxxxxbwwwwbwwwwbwwbwwwwbbwbwbwwbbwbwbwwwbbbwwbbbbbbwwwwwwwx w,h8,b1 b2
wwwwwwwwbwwwbbwxbwwwwbwwbwwwwbwwbwwwwbbwbwwbbbbbbxwwbbxxbxxwxbxx w,e8,h7 g7 g8
xwwwwwxxwxwwwwxxwwwbwbwbwbwwbwwbwbbwwbwbwbbbwwwbwbbbbwwxxxwwwwwx b,h2,g1 b2 h7
xxbbbbbxbwwwwbxxbwwwbbbbbwwwwwbwbwbbwwbbbbwwwwbbbxwbbbbbxwwwwwww w,g2,h2 b7
bwwwwwwwbbwwwwwbbwbwwwwbbwbwbbwbbbwbbwwbbwbbwwwwbxwwbbwxbxwxbxxw b,b8,h7 b7 d8
xbbbbbbxwbbwwwwxwbbbwwbbwbwbbbbbwbwbbbbbxbwbbbbbxbwbwwxxwwwwwwxx w,h2,a7 a6 g7
bwwwwwxxbwwwbwxwbwwbbbwwbwbwwwbwbbbwwwbwbbwwwbwwbbwwbwxwwwwwwwxx b,g1,g2 g8 g7
wwwwwwxxbwbbwwxxbbwwwwbbbwbwwbbbbwbbwwbbwwbwbbwbxwbbbbxxwxbbbbbx w,b8,h2 g2 g7
wbbbxxbxwwwwwbbxwbwbbwbwwbwwwbbwwwbwwbbwwwwbwwbwwxwwbbbbxxwwwwww w,e1,h1 h2 f1
wwwwwwxxbwbwwbxxbwwwwbwwbwbwbwwwbwbbwbwwwwbwbbwwxbwbbbxwbwwwwwwx w,a7,g7 g1 g2
xwwwbbxxxwwwbbbxbwbbwbbbbbbbbwbbbwbbbbbbbwwbwwbwxwwwbbwwxwwwwwww w,g1,h1 h2
xwbwxbbxwwbbbbbwwwbwwbbwwbbwwwbwwbbbbwbwwbbwwwwwwbwwwwxwxxwwwxxx w,e1,a8 b8 h1
bbbbbbxxbwbbwbxxbbwwbbbbbbwwwbwbxwwbbwwbwwbbbbwbxwbbbbbbwxwbbbxb b,a7,a5 b8
bwbbbbbbxwwwwwbxwwbwwbwwbbbbbbwwbbbbbbbwwwwwwbbwxxwbbbbxxwwwwwwx w,h8,h2 h7
xxwxbbwbxwxbbwbbbbwbwbwbwbwwbwwbwbbbwwwbbbbbbbbbxbwwwwwwbbbbbbbb b,c2,a1 b1
wbbbbbbwwwwwwwbwwbwwwbbwwbwwbwbwwwwbwwbwwwwbwwwwxxbwbwxwxbbbxxwx w,b7,e8 f8
xxwwwbbwwxwwbbbwwwwbwwbwwwwbwwbwwwbbwbbwwwbwwbwwxbbbbwxwxwwwwwwx w,a8,g7 a7
xbbbbbbbxxbbwwbwbbbwbbwwbbwwbbwwbwbbbwbwbbwwwbwwbxwwwwbwxbwwwwbw w,a8,a2 b7 b2
xbbbbbbbbxbwwbwwbbbbwbwwbbbwwbwwbbbbbbwwbbwwbbbwbwwwbbxwbbbbbxxw w,f8,b2 g7
xbbbbbbbxxbbwwwbxwwbbbwbwwwbbwwbwwwwwbwbwwwwwwwbxwbwwwwbwbbbxwww b,e8,a3 a7 b2
wwwwwwwxxxbwwwxxwwbbwwwwwbwbbwwwwwbbbwwwwbwbwbwwwxbbbbbxwbwwwwxx w,b7,b2 g8
bbbbbbbbwwwwbwwbbwbbwwwbbbwbwbwbbbwwbbwbbbwbbwwbxwbbbbxbwxwwwwwx b,b8,g7 a7
xxwwwwxwxbwwwwxwbbbbwwbwwbbbwbwwwbwwbbwwwbbbbbbwwbwwwbbwbbbbbbbw w,a1,g2 a2
xxbbxwwxbwbbbwxwbwwwwbwwbwbwwbbwbwbwwwbwbbwbwwbwbwbwbbwwbbbbbbxw b,g8,b1 g2
xwwwwwwwbxbbwwxwbbbwwwbwbwbwwbbwbbwbbwbwbbwwbbwwxxwwwbxwxxwwwwxx b,g7,g2 b8 b7
bbbbbbxwwbbwbbwxwbbbwwbwwbwwwwbwwbbwwbbwwbwwbbbwwxwbbbbwwxwwwwxx b,h2,b8 b7 g1
xxbbbbxxwbbbbbxxwwbwwwwwxbwbwbwwbbwbbwbwbbwwwbbwbxwwwwbwxwwwwwwx b,a4,g2 h2 b7
wbbwxwwwbwbwwbxbbwwbbbbbbwbbbbbbbwbbwbbbbwbbbwbbbwwwwwwbbwwwwwxx b,h8,e1 g8
bbbbwwxbxxbbwwwwxbbwwbwwwbwbbwbwwwwbbbbwwwbwbbwwwxwwwwbwxxxwwwbw b,g1,b8 c8 b7
xbbbbbbxbwwwwwwxbwwbbwwbbwbwwwwbbwbwwbwbbwwwbwwbxwwbwwwxxwwwwwxx b,g8,h7 a7 h2
wbbwwwwxwbwwwwwbwbwbbwwbwbbwwbwbwbwwbwbbwbwbbwwbxwbwwbxbwbbbbbbx b,a7,g7 h1
xxbbbbbbbxbbbwbxbbbbwbwwbwbwwwwwbwwwwwbbbwwwwbwbbwwwwwbbxxbbwbbb b,h2,a8 b8
xxbbwbxxwxbwwbxxwbbbbbbbwbbbwbbbwbbwbwbbwwwbwbbbxwwbbwwwxxwbbbbb b,a8,a7 b8
bbbbbbbwbbwwwxbwbwbwwwbwbwwbwbbwbwwwbbbwxxxwbbbwxxbbbbbwxbbbxwww b,f2,a6 b6 c6
wwwwwwwxwbbwwwxwwbbbbbwwwbbwbwbwwbwbwbbwwwbwbwwwwwbbbwwxbbbwwwwx b,h8,g2 h7
xxwwwbxwbxwwwbwwbbwbwwbwbwwwwbbwbwwwwbbwbwwbbwbxbwbbbbxbxbbbbbbx b,g1,b2 b1
xbbbbbwbxwbwwwwwwwwbwbwwwwwwbbbwwwwwwbbwwwwbbwwwxxbwbwwwxbbbbbbx b,h8,a2 b7
bxwwwwwxwwwwwwxwwwbwwwwwbbwbwbwwwbwwbbwwwwbbbbwwwwwbwbxxwwwwwwwx b,b1,h7 g2
bwwwwwxxbwwwwwxxbwwwbwwbbbwbwwwbbbwwbwwbbbwbwwbbbbbbbbxbwwwxbxxx w,g8,d8 g7 f8
xbbbbbbxxbbbbbxwwbwbbbwwwbwbbwwwwbwbwbwwwbbwwbwwwbwbbwxwbbbbxwwx w,a1,e8 g7 a2
xxwwwwwxwxbbbbxwwwbbwbwbwwbwbwbbwwbbwbbbwwbwbwbbwxbbbwxbxbbbbxwx b,h1,g2 f8 g7
xwwwwbxbxxwwwwbwwwwwwbwwwwwwbwwwwwwbwwbwwwbwwwbwwbbbbbwwxwwwxbxw w,g1,g8 e8
xxwwwwwxbbbbbbbxbbbbbbbbbbwwbwwwbbwbbbwwxwbbbbwwwbwwwwwwbbbbbbbb w,a6,a1 b1 h2
xwwwwwwwbxwwwbbbbbwwbwbbbwbbwbbbbbbwbwbbbwwbwwbxbwwbbbbxxbbbbbbb w,h6,b2 h7
bbbbbbbbbwwwwwwwbwwbwbwwbwwwbbwwbbwbwbwwbwbbbbwbbwwwbwxxbwwwwwxx b,g8,g7 h7
xxbbbbbbxwxbwwwbwwwwbwwbwwwwwbbbwbwwwbbbwwwwbwbbwwbwbbwbwwwwwwww b,c2,a2 b1
xxbwwwwbbbbwwwwbbbbbbbwbbbbbbbwbbbbbwwwbbbbbwwwbxxbwbwxbxwwwwwwx w,a1,a7 b7 b1
xwxbwwwbxxwbbwbbbbbwwbwbbbwwwwbbxxwbbwwbxxwbbbwbbbbwwwwbwbbbbbbb b,c1,b6 b5 b2
xbbbbbbxbxbbwwwbwbbwbwbbwwbwwbbbwwbbbwbbwwwbbbbbxwbwbbbwxbbbbbbb w,h1,a1 b2
xxbbbbbxbxbbbwxxbbwbwwwwbwbwwwbwbwbwwbbwbbwbwbbwbxwwbbbbxxwwwwww w,b7,b1 b2
xxbbbbxxwxbbwbxwwwbbwwwwwbwwwwwwwbwwwwbwwwwbbbwwwwwwwbxwxwwwwxbx b,g2,g7 f8 b2
bbbbxwxwbwwwwwwwbwwbwwbwbwbbwwbwbbwwwwbwbxwbwwbwxbbwbwxwxxwwwwwx b,b6,g7 e1 g1
wwwwwwxxwbbwwwxwwbbbwwwwwbwbbwbwwbwwwbbwwbwbbbwwwwbbbbxwwbbbbxxx w,f8,g8 g7
wbbbbbbxxwbbwbbxbbwwbbbwbbbwbwbwbwbbwwbwbwbwbbbwbbwbbbbwbwxbbbbx w,c8,h1 h8 h2
xxwwwwwxxxwbbwxwbbbbwbwwbbbwbwwwbwbbwwwwbwbbwwwwbbwwwwwwbxwbbbbw w,b8,a2 b2
xbbbbbbxbxwbwbxxbbbwbwwwbbwbbwwwbwbbwwwwbbwwbwwwbxwwwwwxxxwbbbbw w,b2,g2 b7
xxbbbbbwxxbbbbwxwwbwbwbbwwbbwwbwwbwwbwbwwwwwbbbbwwwbbbbxxxwwbbxx b,h2,a2 b8 b2
xwwwwwwxxbbbbbwbbbbwbwwbbbwbwbwbbbbwbwwbbbwbwbwbbxbbbwwbxxbbbbwb w,a1,b7 b8 a2
xxxbwwwbwxbbbbbbwwbbbbwbwbwwwwwbwbbbbbwbwxwbbbwbbbbbwbbbwwwwwwbb w,b6,b2 b1 c1
wbxxxbxxbwxxxbxxbbwwwbbbbbbbbbbbbbwwbwbbbbwwwbbbbwwwwwbbbwwwwwwb b,c1,c2 d2 e2
bbbbbbbwxwwbbbwxxwwwbwbwxwbwwbbwwwbwbwbwwwwbwbbwbwwbwbbwwwwwwwww b,h2,a2 a3 a4
xxwwwwwxxwbbbbwxwwwwwwwwwwwbwbwwwwwwbbbwwwwwbbbwwwwwwbbbxwwwwwww b,a1,a2 h2
xxbbbbbbwwbbwbxbxwwwbbwbbbwbbbbbbbbwbbwbbbbbwbwbxxbbbwwbxbbbbbwb w,g2,a8 b1 b7
xbbbbbwbxxbbbbbbwwwbwbbbwwbwwwwbwbwbbbwbwwbbwbwbwxbwwbxbxbbbbbxb w,a1,g8 b7 g7
bxbbbbbxbbbbbbxwbwbbbbwwbwbbwwbwbwbwbbwxbbwwbbbbbbbbwwbxwwwwwwww w,b1,h7 h5 g2
bwwwwwwwxbwbbbbbbbbbbwbbbbwbwbwwbbbwbwwbbbwbwwwbxxbwwxxxxbbbbbxx w,a2,h7 a7 b7
bxbbbxwxxbbbbwxbwwbbwwbbwwwwwbbbwwbwwbbbwbwbbwbbwbbwwwxxwbbwwwxx w,h7,a2 f1 b1
bbbbbbbxwwwwwbxbwwbbwwbbwwbbbwwbbbwbbbwbbbwbwwbbxbbbbwxbwbwwwwwx w,a7,g7 g2
bxbbbbbxbxbbwbxwbwbbbbwwxwwwwwbwxwwwwbbwwwwwbbbwxwwbwwwwwwwwwwww w,b1,g2 b2
xxxbbbxxwxbbbbwwwwbbwbwwwwwbwbbwwwbwbbwwwwwwwbwbwwwwwwbbxxwwwwxx b,h1,a8 b8 g1
bwbbbxxxbwwbbbxbbwwwbbbbbwbbbbbbbwbbwwbxbbbwwbwwbbbbbwxxxwwwwwwx w,f1,g7 h5 g2
xwwwwwwbwxwbbwbbwwbbwbwbwwbwbbwbwwwbbwbbwbbbbbbbwbbbbbxxwbbbbbbx w,h8,b2 g7 h7
bwbbbbxbwwwwbbbbwwbbbbwbwwbbbbbbwbwbbwwbwbbwbbwbxbbbwwxxxwwwwwxx w,g1,g7 a7
wbbbbbbbxwbbwwbwxwbbwwbwwwwwbwbwwbwwbwbwwbbwbwbbwbbbwbbxxxbbbbbb w,h7,a8 b8
xwwwbbbbwxwwbbbbbwbwwbwbbbwwbwbbwbbwwbbbwwbwwwbbxbbbwwbbxwwwwwww b,a1,a7 b2
xwwwwwwxxbbbbwwxbbbwbwwbbbbbwbwbbbbwbwwbbbwbwbbbxxbwbbxbxbbbbbbx w,a7,g7 b7 a2
xxxbwbxbbxbbbbbbbbbbbbwbbwbbbbwbbwbwwwbbbwwwwwbbbwwwbbbbxxwwwwww w,c1,b1 g1 b2
xbbbbbbbbxbbbbwwbbbbbbbwbwbwbwbwbbwbwbbwbwbwbbbwbbwbbxxwbwwwwwww w,b2,f7 g7
xxbbbbbwbxxbbbwxbbwbwwbbbbbbwbbbbbwbwbbbbbbwbwbwxxbwwbbwxbbbbbbb b,h2,c2 b2
xxwwwwwxxxwwbwxxwbwwwwbxwwbwbwbbwwbwwwbxwwwwwwbbbbbbbbbxbwwwwbbw b,a2,g2 b2 b1
xwwwwwxxxxwwwwbbwwwwwbbbbbwbbwbbxbwbbwbbbbbwbbbbxbbbbwbxxwwwwwwb w,h7,a7 a5 g1
xbbbbbbwxbbwbbbbwbbbwwbbwbbbwbwbwbwwbwwxwwwbwwwxwwwwwwxxbbbbbxxx w,h5,a1 a2
bbbbbbbwxxwbwbwwxbwwbwbwxbwbbbwwbbbbbbwwbbwbwwbwbxwwwbxwxxwwwwww b,g7,b2 b8 b7
xxwwwwwbbxwbwwwbxbbwwbwbwwbbbbwbwwwbbbwbwwwbwbwbwxbwwwwbxbbbbbbb b,b1,b7 b2 a3
xbbbbbbbxxwwbwwwwwwwwwwwwwwbwwwwwbwwwwwwwbwwwwwbwbwwwwxxwbwwwxxx b,b2,g7 f8 h7
bbbbbwxxbwbwwwwwbbwbbwbwbbbbwbbwwbwwbbwwwbwwwbwwxwbbbbxwwbxxbbxx b,a7,g7 g1
xwwwwwwwbwwwwbxwbwwwbbwwbwbbbwbwbwbwwwwwbbbbbwwwxxbwwwxxxbbbbbbx b,g2,g7 a1 h7
xbbbbbbxwxwbwwwxwwbwbwwwwbwbwbwwwbbwwbbwwbwbwbwwxwbbbwxwwbbbbbxx b,a7,h2 b2 g7
xbbbbbbxxwwwwbwwbwwbbwwwbwwwwwwwbwbwwwwwbbwbwwwwbwwwwwxxxxwwwwxx b,h7,a2 b8 g7
bbbbbbbxbbwbbwxwbbwbbbwwbbwwwwwwbbwbwwbwbbwwwwbwxxwwbbwxxxwwwwww b,h7,g2 b7
bbbbbbxxwwwwbbxwwwbwbbbbbwwwwwwwbbwbbwwxbbbwbwxbxbbbwbxxxbbbbbbx b,h1,g7 g6 h5
xbbbxxxwxxbbwxwwbbwbwwwwwbwwwbwwwwbwbbbwwbwbwbbwwbbbbbbwwbbbbbbb w,a2,b2 e1
xwwwwwwwxxwbwbwwbxbwbbwwwwbbbbwwxbbbbwwwbbbbbbwwbbwwwwwwbbbbbbbw w,a5,b2 b3 a2
xbbbxwxxbbbwwwxwbbbbbbbbbbwbbwbxbbwbbbbbbwbwbbbwwwwwwbxxbbbbbbbx w,a1,g2 h4 g7
xwxbbbbwxxwbbbxwxwwbbbbwwwbbbbbwwwwwbwbwwbbbbbbwwbbbbbbwxxbwwbbb b,c1,a2 a3 b2
xxbbbbbxwwbbbbxxwwwwbbwwwwbwwbwwwwbbwwwwwwbbwwwwwxbwbxwxxxwwwwww b,f7,h2 h7
bbbbbbbwbwwwwwwwbwwbwbwwbwwwbbwwbwbbbbwxbwbwbbwwbbwbbbxxbbbbbbbx b,h5,g7 h7
bbbbbbxxbxwwwbbwbwbbbbwwbwwbbbwwbwbbbwwwbwbbwbwwbwxbbwxxbwwbxbxx w,c7,g1 h1 e8
